time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	weeklyFatality (total) median	weeklyFatality (total) lower bound	weeklyFatality (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-02-01	56399260	56399260	56399260	134	0	0	6296	7000	7000	0	0	0	9	0	0	3561	3000	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-02	56396540	56396726	56396925	157	3	3	7203	7381	7698	0	0	0	10	0	0	4254	3998	4002	2	0	0	1094	1003	1003	35	3	3	3	0	0	2	0	0
2020-02-03	56393405	56393579	56394047	183	8	8	8407	8253	8988	0	0	0	12	0	0	4881	4796	4838	4	0	0	2368	2258	2263	76	8	8	6	0	0	4	0	0
2020-02-04	56389820	56389869	56390680	213	16	17	9801	9470	10664	0	0	0	14	0	0	5579	5536	5688	6	0	0	3825	3725	3755	123	18	19	10	0	0	6	0	0
2020-02-05	56385712	56385567	56386829	248	33	35	11367	10917	12642	0	0	0	17	1	1	6412	6333	6671	9	0	0	5495	5402	5498	176	36	39	15	1	1	9	0	0
2020-02-06	56380980	56380582	56382437	287	58	65	13143	12568	14942	0	0	0	19	1	1	7399	7249	7850	13	1	1	7419	7312	7536	238	66	73	20	1	1	13	1	1
2020-02-07	56375515	56374793	56377420	332	95	108	15182	14443	17633	0	0	0	23	2	3	8551	8314	9257	17	1	1	9641	9492	9930	309	110	124	27	3	3	17	1	1
2020-02-08	56369199	56368061	56371681	384	144	165	17536	16586	20799	0	0	0	26	4	5	9884	9547	10924	21	2	3	12210	11989	12746	392	168	193	34	5	6	21	2	3
2020-02-09	56361900	56360227	56365112	445	203	237	20258	19043	24535	0	0	0	31	7	8	11422	10964	12891	25	4	5	15178	14850	16063	487	243	282	42	8	9	26	4	5
2020-02-10	56353468	56351111	56357590	514	275	325	23404	21865	28943	0	0	0	36	10	12	13198	12592	15211	29	6	8	18608	18133	19974	597	336	395	52	13	15	32	6	8
