time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	weeklyFatality (total) median	weeklyFatality (total) lower bound	weeklyFatality (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-02-01	55643340	55643340	55643340	13408	0	0	438071	536144	536144	593	0	0	236	0	0	313612	229776	229776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-02	55389682	55426406	55451139	15188	226	227	564595	577489	601855	0	0	0	984	1	1	346401	306314	306661	179	0	0	92230	76839	76859	2992	236	237	287	1	1	179	0	0
2020-02-03	55110760	55154578	55211212	17130	581	596	699946	661821	714572	0	0	0	1156	5	5	385729	368817	372264	382	0	0	194156	173104	173553	6298	626	641	612	5	5	382	0	0
2020-02-04	54796926	54831926	54929868	19335	1292	1366	838596	772647	856876	0	0	0	1344	15	16	442991	429864	441271	612	4	4	309455	286385	288770	10039	1417	1495	978	16	17	612	4	4
2020-02-05	54434505	54453081	54605762	21948	2625	2846	987854	901849	1022960	0	0	0	1552	40	44	519131	498346	522922	874	15	16	443395	417372	424625	14386	2920	3157	1393	46	49	874	15	16
2020-02-06	54011146	54007905	54233153	25089	4781	5273	1157016	1048413	1214914	0	0	0	1787	93	102	612108	578626	621505	1174	42	47	600941	568681	585165	19501	5398	5937	1865	107	118	1174	42	47
2020-02-07	53516205	53484507	53804567	28856	7869	8792	1352680	1214693	1437743	0	0	0	2055	187	208	721293	672591	739283	1519	96	109	786652	743849	775396	25532	9041	10072	2407	220	245	1519	96	109
2020-02-08	52939451	52870266	53311993	33345	11940	13491	1578966	1403800	1696654	0	0	0	2364	334	375	848018	781503	878470	1916	189	214	1005200	946894	1000991	32631	13979	15747	3032	404	453	1916	189	214
2020-02-09	52270098	52151898	52747135	38658	17011	19435	1838852	1618565	1996272	0	0	0	2725	547	620	994743	906837	1041864	2195	333	380	1261810	1182245	1268356	40967	20316	23129	3755	680	768	2375	333	380
2020-02-10	51496566	51315429	52101381	44915	23104	26697	2134944	1861362	2340554	0	0	0	3146	837	956	1164323	1050411	1232787	2525	541	620	1562459	1454803	1584770	50735	28158	32402	4595	1067	1215	2907	541	621
2020-02-11	50606727	50346407	51365819	52250	30253	35375	2469537	2134121	2732685	0	0	0	3639	1212	1397	1359649	1214254	1454833	2913	824	952	1913933	1770009	1958477	62155	37625	43777	5572	1588	1823	3525	828	956
2020-02-12	49588396	49230422	50531399	60813	38511	45595	2844261	2438265	3174697	102	0	0	4114	1682	1956	1583516	1400447	1711615	3369	1193	1388	2323816	2133872	2398730	75473	48861	57505	6708	2263	2621	4243	1208	1404
