time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	weeklyFatality (total) median	weeklyFatality (total) lower bound	weeklyFatality (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-02-01	56399260	56399260	56399260	117	0	0	6490	7000	7000	0	0	0	7	0	0	3386	3000	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-02	56396300	56396383	56396712	140	3	3	7581	7578	7902	0	0	0	9	0	0	4172	4000	4004	2	0	0	1058	1003	1004	34	3	3	3	0	0	2	0	0
2020-02-03	56392766	56392761	56393517	167	8	8	9102	8737	9442	0	0	0	10	0	0	4890	4821	4867	3	0	0	2320	2261	2267	75	8	8	6	0	0	3	0	0
2020-02-04	56388639	56388431	56389748	199	17	18	10894	10265	11400	0	0	0	12	0	0	5714	5632	5784	6	0	0	3795	3743	3775	122	19	20	9	0	0	6	0	0
2020-02-05	56383800	56383296	56385368	236	34	37	12951	12068	13718	0	0	0	15	1	1	6724	6553	6883	8	0	0	5525	5462	5559	177	38	41	14	1	1	8	0	0
2020-02-06	56378090	56377189	56380280	280	63	69	15342	14149	16451	0	0	0	18	1	1	7953	7646	8224	12	1	1	7567	7457	7678	243	71	78	19	1	2	12	1	1
2020-02-07	56371331	56369902	56374353	332	104	116	18158	16561	19700	0	0	0	21	2	3	9420	8940	9848	15	1	1	9984	9778	10204	321	119	133	25	3	3	15	1	1
2020-02-08	56363324	56361196	56367440	393	158	179	21493	19374	23587	0	0	0	25	4	5	11158	10461	11798	20	2	3	12847	12487	13221	412	185	208	32	5	6	20	2	3
2020-02-09	56353843	56350795	56359372	465	226	258	25444	22664	28242	0	0	0	30	7	8	13215	12243	14132	24	4	5	16238	15651	16830	521	269	307	41	9	10	25	4	5
2020-02-10	56342618	56338371	56349959	551	308	357	30123	26514	33817	0	0	0	35	11	13	15647	14326	16926	28	7	8	20253	19350	21148	650	375	433	51	14	16	32	7	8
2020-02-11	56329330	56323532	56338975	653	406	477	35662	31019	40492	0	0	0	42	16	19	18526	16762	20270	33	11	13	25008	23675	26318	803	504	589	63	21	24	39	11	13
2020-02-12	56313602	56305811	56326162	774	521	621	42216	36287	48482	0	0	0	50	22	26	21934	19612	24273	40	16	19	30637	28735	32506	984	659	780	77	30	35	48	16	19
2020-02-13	56294986	56284651	56311216	916	654	792	49971	42447	58042	0	0	0	59	30	36	25968	22944	29065	47	22	26	37302	34654	39917	1198	843	1012	94	42	49	58	23	27
2020-02-14	56272956	56259387	56293782	1085	809	996	59145	49650	69481	0	0	0	70	40	48	30742	26842	34802	56	30	36	45192	41579	48790	1451	1061	1293	115	56	67	71	31	37
2020-02-15	56246887	56229227	56273449	1285	989	1238	69996	58070	83163	0	0	0	83	51	62	36391	31401	41668	66	39	47	54532	49680	59415	1751	1318	1631	138	74	89	86	42	50
2020-02-16	56216044	56193230	56249736	1521	1197	1526	82829	67912	99525	0	0	0	98	65	80	43076	36732	49884	78	50	61	65589	59159	72138	2106	1620	2038	166	96	117	103	55	66
2020-02-17	56179560	56150273	56222087	1801	1439	1868	98000	79413	119085	0	0	0	116	81	101	50984	42965	59714	92	63	78	78676	70248	87369	2526	1974	2525	200	122	150	124	70	86
2020-02-18	56136410	56099025	56189851	2132	1719	2276	115930	92849	142458	0	0	0	137	99	126	60338	50251	71471	109	78	98	94165	83219	105602	3023	2389	3110	239	154	192	148	89	111
2020-02-19	56085389	56037904	56152275	2523	2045	2761	137114	108543	170375	0	0	0	163	121	156	71399	58768	85531	129	96	123	112494	98391	127426	3612	2875	3810	286	191	242	177	112	141
2020-02-20	56025080	55965032	56108483	2987	2424	3339	162131	126867	203702	0	0	0	193	147	192	84475	68720	102337	153	117	151	134182	116135	153541	4308	3444	4648	341	236	303	212	139	178
2020-02-21	55953816	55878187	56057458	3535	2865	4029	191659	148253	243458	0	0	0	228	177	236	99930	80348	122420	181	141	186	159840	136884	184787	5132	4110	5651	407	289	377	252	172	223
2020-02-22	55869638	55774741	55998022	4183	3379	4851	226490	173202	290847	0	0	0	270	212	287	118188	93928	146405	215	169	227	190189	161144	222161	6106	4888	6851	484	352	466	301	210	277
2020-02-23	55770256	55651596	55928811	4949	3977	5832	267548	202293	347279	0	0	0	320	252	349	139750	109785	175035	254	201	276	226080	189502	266852	7259	5798	8286	576	425	573	357	256	342
2020-02-24	55652988	55505105	55848245	5855	4675	7003	315904	236193	414403	0	0	0	378	300	423	165198	128292	209186	301	239	335	268512	222647	320275	8621	6862	10002	684	512	702	425	310	421
2020-02-25	55514707	55330989	55754504	6925	5488	8399	372797	275666	494133	0	0	0	448	355	511	195216	149882	249888	356	284	404	318663	261375	384109	10231	8105	12052	813	614	856	505	373	515
2020-02-26	55351773	55124247	55645487	8188	6436	10064	439657	321592	588682	0	0	0	530	419	616	230598	175056	298352	421	335	488	377915	306616	460344	12133	9556	14500	964	734	1041	599	447	629
2020-02-27	55159968	54879062	55518778	9680	7541	12049	518116	374972	700581	0	0	0	627	495	741	272267	204392	355988	499	395	587	447892	359449	551339	14380	11252	17423	1144	874	1263	710	535	765
2020-02-28	54934421	54588699	55371607	11439	8829	14413	610034	436944	832702	0	0	0	741	582	890	321291	238551	424438	590	465	705	530491	421125	659873	17032	13232	20909	1356	1038	1528	842	637	928
2020-02-29	54669534	54245418	55200804	13513	10330	17225	717508	508796	988260	0	0	0	876	684	1068	378898	278295	505594	697	547	846	627933	493094	789222	20160	15541	25063	1606	1231	1846	998	757	1123
2020-03-01	54358911	53840388	55002755	15955	12078	20569	842877	591969	1170793	0	0	0	1036	803	1280	446495	324491	601622	824	642	1015	742804	577034	943224	23848	18235	30008	1902	1456	2225	1182	898	1357
2020-03-02	53995299	53363638	54773360	18829	14114	24540	988716	688072	1384117	0	0	0	1224	942	1532	525682	378124	714978	974	753	1215	878111	674879	1126365	28192	21375	35890	2251	1719	2677	1399	1063	1636
2020-03-03	53570536	52804042	54507984	22207	16481	29245	1157818	798877	1632228	0	0	0	1446	1103	1832	618264	440309	848406	1151	882	1453	1037334	788859	1343854	33303	25033	42874	2663	2026	3217	1655	1255	1969
2020-03-04	53075544	52149377	54201424	26171	19233	34812	1353138	926310	1919143	0	0	0	1707	1291	2188	726255	512298	1004932	1359	1032	1736	1224488	921532	1601709	39312	29291	51154	3148	2384	3860	1958	1480	2365
2020-03-05	52500345	51386473	53847874	30816	22427	41383	1577717	1072440	2248658	0	0	0	2014	1510	2611	851875	595484	1187816	1604	1207	2072	1444180	1075826	1906825	46364	34242	60952	3721	2803	4624	2314	1742	2838
2020-03-06	51834155	50501486	53440913	36248	26133	49118	1834558	1239436	2624009	0	0	0	2374	1764	3111	997530	691406	1400476	1891	1411	2471	1701661	1255080	2267034	54629	39994	72518	4394	3290	5532	2733	2048	3399
2020-03-07	51065553	49480350	52973508	42587	30423	58192	2126439	1429518	3047408	0	0	0	2797	2059	3703	1165777	801742	1646363	2229	1647	2942	2002880	1463080	2691133	64298	46669	86135	5185	3858	6609	3227	2405	4066
2020-03-08	50182758	48309419	52438050	49966	35384	68799	2455670	1644872	3519453	0	0	294	3292	2402	4114	1359254	928293	1928762	2625	1922	3502	2354513	1704100	3188866	75584	54403	102115	6115	4519	7884	3807	2820	4859
2020-03-09	49174047	46976350	51826427	58527	41108	81138	2823766	1887536	4038426	0	0	1076	3871	2800	4114	1580585	1072959	2250524	3088	2241	4195	2763976	1982935	3770847	88726	63349	120798	7204	5287	9389	4487	3303	5831
2020-03-10	48028323	45471225	51130154	68426	47698	95416	3231049	2159244	4599507	426	0	1973	4114	3260	4114	1832230	1237692	2613710	3636	2610	5047	3239401	2304915	4448392	103985	73680	142547	8479	6179	11162	5292	3865	7015
2020-03-11	46735858	43787885	50340566	79824	55265	111833	3676171	2461233	5193987	1170	0	2974	4114	3791	4114	2116292	1424433	3019133	4310	3037	6077	3789567	2675922	5233235	121640	85583	167738	9968	7214	13243	6267	4516	8443
2020-03-12	45289200	41925404	49449085	92882	63928	130574	4155593	2793995	5808618	2001	300	4114	4114	4114	4114	2434267	1635020	3465831	5126	3533	7308	4423766	3102368	6137120	141990	99264	196746	11702	8411	15677	7440	5275	10146
2020-03-13	43684229	39889567	48447584	107758	73809	151791	4663068	3156990	6425256	2937	970	5418	4114	4114	4114	2786726	1871064	3950492	6101	4136	8762	5151595	3591153	7171218	165343	114944	229928	13718	9795	18514	8835	6185	12161
2020-03-14	41921271	37694129	47328839	124599	85033	175587	5189190	3548326	7021031	3993	1716	6903	4114	4114	4114	3172961	2133796	4466890	7255	4862	10456	5982651	4149582	8345403	192004	132856	267597	16053	11391	21803	10482	7267	14521
2020-03-15	40006192	35361603	46087076	143526	97722	201986	5721122	3964429	7569227	5187	2541	8588	4114	4114	4114	3590590	2423874	5005428	8605	5722	12412	6926119	4785235	9667373	222267	153243	310000	18747	13227	25598	12412	8543	17270
2020-03-16	37951292	32923295	44718598	164622	111991	230916	6242617	4399730	8040997	6538	3462	10485	4114	4114	4114	4035173	2741161	5552912	10165	6732	14622	7990256	5505776	11141669	256395	176351	357276	21844	15335	29950	14652	10035	20453
2020-03-17	35775833	30418368	43222458	187917	127941	262183	6734450	4846427	8407894	8059	4494	12601	4114	4114	4114	4499883	3084476	6092669	11948	7906	17097	9181769	6318697	12768686	294601	202418	409434	25389	17747	34908	17239	11770	24113
2020-03-18	33506016	27891830	41601134	213369	145650	295456	7175364	5294376	8644968	9760	5650	14938	4114	4114	4114	4975310	3451342	6605144	13944	9255	19849	10505120	7231000	14543770	337024	231667	466319	29424	20498	40517	20211	13772	28292
2020-03-19	31174254	25391585	39861122	240848	165163	330254	7543526	5731179	8733957	11648	6944	17489	4114	4114	4114	5449464	3837748	7069002	16165	10790	22882	11961804	8248793	16456551	383709	264293	527593	33992	23623	46812	23605	16065	33028
2020-03-20	28817687	22964868	38013383	270125	186479	365954	7818436	6142537	8665979	13725	8387	20243	4114	4114	4114	5908063	4237964	7462727	18622	12497	26190	13549656	9376844	18490655	434582	300446	592721	39132	27160	53819	27457	18682	38350
2020-03-21	26476023	20654601	36073523	300859	209542	401808	7983042	6512900	8384644	15988	9983	23175	4114	4114	4114	6335143	4644449	7766541	21320	14387	29756	15262292	10618083	20623905	489433	340217	660987	44878	31144	61547	31802	21654	44277
2020-03-22	24188919	18496256	34061644	332598	234230	436972	8025780	6826422	8171820	18428	11737	26251	4114	4114	4114	6714000	5047902	7964394	24256	16469	33550	17088758	11973100	22829072	547906	383623	731510	51253	35608	69992	36668	25012	50820
2020-03-23	21993248	16515710	32001789	364786	260344	470563	7942124	7068168	7907295	21030	13650	29426	4114	4114	4114	7028409	5437479	8045692	27422	18751	37528	19013481	13439681	25075153	609494	430588	803287	58274	40585	79133	42074	28786	57981
2020-03-24	19920638	14728374	29920985	396781	287603	501702	7735364	6731996	7713551	23770	15716	32645	4114	4114	4114	7263982	5801225	8006467	30794	21233	41634	21016583	15012430	27329057	673555	480935	875254	65942	46100	88927	48033	33003	65746
2020-03-25	17995647	13139575	27847919	427886	315648	529580	7416381	6493308	7474527	26615	17927	35849	4114	4114	4114	7409497	6126693	7822953	34340	23915	45798	23074574	16682537	29557515	739328	534378	946338	74247	52173	99319	54551	37687	74090
2020-03-26	16234782	11745939	25811385	457381	344042	553510	7002464	6064260	7254504	29524	20271	38974	4114	4114	4114	7457996	6401738	7607199	38019	26788	49945	25161380	18437748	31728981	805975	590519	1015527	83165	58816	110235	61623	42853	82973
2020-03-27	14646432	10537366	23838652	484566	372284	572961	6515364	5422898	7072234	32450	22729	41957	4114	4114	4114	7407467	6615398	7421740	41779	29828	53994	27249636	20262559	33815310	872611	648855	1081918	92656	66030	121591	69236	48510	92344
2020-03-28	13231586	9499196	21953956	508805	399833	587592	5978962	4789932	6890929	35342	25274	44737	4114	4114	4114	7261010	6510580	7212430	45560	33010	57865	29312085	22138666	35793029	938361	708796	1144760	102668	73808	133294	77362	54664	102142
2020-03-29	11985102	8614225	20177294	529557	426124	597254	5416961	4185125	6704587	38146	27872	47259	4114	4114	4114	7026455	6310718	7050525	49297	36300	61478	31322964	24045646	37644119	1002398	769682	1203481	113135	82129	145244	85965	61312	112298
2020-03-30	10897258	7864359	18523648	546409	450602	601982	4850946	3622541	6403282	40811	30488	49480	4114	4114	4114	6715519	6044950	6868398	52925	39657	64757	33259208	25961811	39356271	1063983	830815	1257691	123984	90964	157343	94999	68443	122738
2020-03-31	9955316	7231840	17002692	559092	472748	601977	4299029	3110816	6040600	43287	33078	51363	4114	4114	4114	6342638	5534582	6681057	56376	43033	67636	35101380	27865183	40922695	1122494	891487	1307182	135134	100271	169493	104409	76036	133382
2020-04-01	9144926	6700045	15618963	567488	492107	597572	3775155	2653933	5631980	45528	35602	52885	4114	4114	4114	5923668	5016024	6505786	59584	46375	70065	36834251	29734475	42341571	1177447	951016	1351902	146499	109998	181602	114135	84062	144155
2020-04-02	8451256	6253935	14372404	571621	508312	588071	3288996	2252223	5193470	47498	38016	54030	4114	4114	4114	5474638	4504135	6351789	62488	49631	72009	38447031	31550006	43615272	1228502	1008769	1391938	157993	120087	193585	124111	92484	154982
2020-04-03	7859822	5880238	13259157	571645	521095	577895	2846297	1903412	4740512	49169	40279	54796	4114	4114	4114	5010681	4010785	6165084	65034	52749	73448	39933268	33294465	44749482	1275458	1064194	1427480	169532	130469	205368	134270	101259	165792
2020-04-04	7357036	5567451	12272465	567820	530301	569146	2449499	1603562	4286972	50519	42353	55190	4114	4114	4114	4545242	3544788	5883026	67180	55672	74378	41290492	34953462	45752302	1318243	1116831	1458796	181036	141076	216886	144542	110336	176520
2020-04-05	6930518	5305738	11403583	560490	530636	559046	2098477	1347834	3844485	51538	44206	55226	4114	4114	4114	4089585	3112089	5558959	68898	58350	74808	42519681	36515849	46633427	1356896	1166328	1486207	192431	151835	228085	154864	119662	187106
2020-04-06	6569229	5086766	10642589	550051	517905	549253	1791271	1131066	3422139	52222	45809	54927	4114	4114	4114	3652586	2716126	5204118	70172	60737	74760	43624621	37973813	47403438	1391547	1212438	1510059	203650	162673	238921	165171	129180	197498
2020-04-07	6263488	4903520	9979069	536934	507543	540614	1524749	948165	3026443	52575	47144	54200	4114	4114	4114	3240747	2358270	4829604	70996	62796	74267	44611253	39322758	48073218	1422392	1255020	1530707	214635	173521	249360	175405	138832	207650
2020-04-08	6004904	4750123	9402640	521576	493769	531933	1295124	794354	2661525	52611	48195	53435	4114	4114	4114	2858388	2038288	4445790	71380	64497	73278	45487034	40561027	48653516	1449679	1294027	1548501	225337	184311	259378	185514	148559	217523
2020-04-09	5786268	4621661	8903323	504408	472340	523252	1098367	665306	2329459	52346	48958	52545	4114	4114	4114	2507939	1754776	4061887	71338	65821	72106	46260374	41689522	49154624	1473684	1329493	1563776	235714	194983	268958	195449	158305	227087
2020-04-10	5601425	4514036	8471789	485839	450400	514400	930479	557200	2030675	51803	49432	51738	4114	4114	4114	2190278	1505534	3685675	70899	66760	71060	46940159	42711249	49586170	1494697	1361522	1576845	245734	205482	278090	205169	168018	236317
2020-04-11	5445145	4423829	8099494	466245	428255	505741	787675	466718	1764358	51008	48748	50969	4114	4114	4114	1905073	1287881	3323386	70095	67184	70005	47535368	43630853	49956994	1513011	1390269	1587993	255373	215758	286772	214637	177648	245194
2020-04-12	5312998	4348190	7778736	445968	406165	493630	666487	391021	1528830	49988	47785	50122	4114	4114	4114	1651107	1098896	2979716	68961	65744	68873	48054779	44454175	50275090	1528911	1415927	1597480	264612	225771	295004	223824	187149	253703
2020-04-13	5201236	4284743	7502658	425307	384343	479725	563808	327698	1321868	48772	46753	49284	4114	4114	4114	1426556	935600	2657928	67535	64340	67780	48506765	45187839	50547601	1542671	1438713	1605535	273442	235486	302794	232706	196481	261838
2020-04-14	5106695	4231504	7265210	404520	362963	464357	476907	274721	1140956	47390	44972	48459	4114	4114	4114	1229221	795085	2360022	65859	62978	66778	48899153	45838908	50780846	1554543	1458858	1612363	281857	244875	310151	241264	205609	269593
2020-04-15	5026704	4186816	7061095	383828	342160	447840	403409	230385	983480	45869	43115	47662	4114	4114	4114	1056711	674599	2086929	63970	60582	65771	49239146	46414592	50980369	1564762	1476599	1618141	289856	253918	317087	249484	214502	276968
