time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	weeklyFatality (total) median	weeklyFatality (total) lower bound	weeklyFatality (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-09-16	58771461	58771461	58771461	2144	0	0	71372	101104	101104	0	0	0	1010	0	0	69908	43330	43330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-09-17	58738849	58746401	58748313	2204	45	46	79985	90863	93036	0	0	0	1095	1	1	70517	59429	59474	100	0	0	23145	17257	17260	734	53	53	161	1	1	100	0	0
2020-09-18	58705749	58715012	58719386	2260	105	107	87579	88143	92744	0	0	0	1179	3	3	72270	69459	69873	203	0	0	46655	38828	38893	1479	137	139	326	3	4	203	0	0
2020-09-19	58671486	58679668	58687039	2327	207	215	93945	90473	97428	0	0	0	1261	10	10	75565	75292	76571	310	2	2	71001	62922	63248	2252	288	299	495	10	11	310	2	2
2020-09-20	58635453	58641587	58652578	2412	372	396	99769	95050	104303	0	0	0	1343	25	26	79886	79397	81965	422	8	9	96609	88539	89480	3064	548	578	670	26	28	422	8	9
2020-09-21	58597304	58601056	58616403	2519	605	652	105645	100290	111927	0	0	0	1427	52	56	84733	83255	87409	540	21	23	123728	115371	117399	3926	939	1005	853	56	61	540	21	23
2020-09-22	58556860	58557942	58578488	2643	890	969	111846	105680	119905	0	0	0	1513	96	104	89880	87384	93343	663	43	48	152490	143450	147119	4839	1468	1587	1044	106	114	663	43	48
2020-09-23	58514002	58512016	58538692	2782	1207	1327	118443	111190	128271	0	0	0	1602	159	174	95287	91847	99809	792	78	86	182985	172898	178831	5808	2129	2319	1245	178	194	792	78	86
2020-09-24	58468611	58463053	58496882	2936	1539	1706	125441	116899	137135	0	0	0	1696	242	265	100978	96594	106766	830	126	139	215303	203836	212722	6835	2907	3193	1456	274	301	929	126	139
2020-09-25	58420552	58410848	58452945	3102	1870	2093	132841	122867	146576	0	0	0	1795	342	378	106986	101591	114201	871	188	209	249545	236366	248967	7924	3792	4197	1680	396	437	1074	188	209
2020-09-26	58369682	58355197	58406780	3280	2192	2478	140653	129124	156643	0	0	0	1899	460	512	113334	106830	122129	916	263	294	285820	270579	287736	9077	4772	5323	1916	542	602	1227	265	296
2020-09-27	58315845	58295889	58358282	3470	2501	2859	148896	135683	167371	0	0	0	2010	593	664	120042	112319	130580	966	348	391	324244	306563	329202	10298	5839	6565	2166	713	796	1389	356	399
2020-09-28	58258880	58232699	58307345	3672	2798	3235	157591	142553	178796	0	0	0	2127	739	833	127128	118071	139589	1020	441	498	364938	344407	373548	11591	6987	7921	2430	906	1018	1560	461	520
2020-09-29	58198618	58165391	58253857	3887	3083	3609	166759	149746	190955	0	0	0	2250	896	1018	134610	124099	149191	1078	537	611	408030	384200	420965	12961	8213	9390	2710	1121	1269	1741	581	659
2020-09-30	58134882	58093716	58197701	4115	3358	3982	176422	157271	203887	0	0	0	2381	1062	1216	142507	130414	159419	1140	636	729	453654	426036	471653	14411	9515	10975	3006	1357	1547	1933	714	815
2020-10-01	58067490	58017411	58138757	4356	3627	4360	186603	165143	217636	0	0	0	2520	1236	1428	150840	137028	170312	1206	734	850	501950	470011	525826	15947	10893	12679	3320	1614	1854	2136	860	989
2020-10-02	57997745	57938467	58077685	4611	3893	4744	195830	172352	229312	0	0	0	2667	1418	1653	159627	143952	181906	1277	832	972	553065	516224	583707	17572	12348	14507	3652	1890	2189	2351	1020	1182
2020-10-03	57940927	57880138	58033217	4879	4156	5137	189194	172376	209522	0	0	0	2822	1607	1891	168382	150728	193241	1351	929	1097	607113	564736	645455	19290	13881	16462	4004	2187	2553	2578	1194	1393
2020-10-04	57881481	57818921	57987138	5146	4409	5513	184927	173667	202528	0	0	0	2986	1801	2140	174809	156692	199789	1430	1025	1225	663728	615066	710283	21089	15473	18517	4375	2502	2946	2819	1381	1624
2020-10-05	57820401	57756232	57940468	5387	4650	5823	183570	171902	201714	0	0	0	3157	1998	2397	178323	161370	200375	1512	1120	1352	721985	667357	776300	22939	17130	20611	4765	2835	3365	3072	1581	1873
2020-10-06	57758514	57693266	57894058	5589	4870	6044	183939	166050	203879	0	0	0	3332	2199	2655	180077	165312	197297	1595	1213	1478	781108	721182	841902	24817	18837	22690	5172	3186	3803	3336	1794	2137
