time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	weeklyFatality (total) median	weeklyFatality (total) lower bound	weeklyFatality (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-02-01	56399260	56399260	56399260	134	0	0	6296	7000	7000	0	0	0	9	0	0	3561	3000	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-02	56396540	56396786	56397025	157	3	3	7203	7251	7527	0	0	0	10	0	0	4254	3996	4000	2	0	0	1094	1003	1003	35	3	3	3	0	0	2	0	0
2020-02-03	56393405	56393691	56394292	183	7	8	8407	7995	8584	0	0	0	12	0	0	4881	4777	4816	4	0	0	2368	2255	2261	76	8	8	6	0	0	4	0	0
2020-02-04	56389820	56390050	56391109	213	16	17	9801	9070	10003	0	0	0	14	0	0	5579	5477	5605	6	0	0	3825	3712	3739	123	18	18	10	0	0	6	0	0
2020-02-05	56385712	56385840	56387493	248	31	34	11367	10358	11681	0	0	0	17	0	1	6412	6211	6485	9	0	0	5495	5364	5446	176	35	38	15	1	1	9	0	0
2020-02-06	56380980	56380978	56383407	287	56	61	13143	11816	13610	0	0	0	19	1	1	7399	7043	7518	13	0	1	7419	7229	7413	238	63	69	20	1	1	13	0	1
2020-02-07	56375515	56375347	56378783	332	91	101	15182	13457	15831	0	0	0	23	2	2	8551	8002	8733	17	1	1	9641	9339	9689	309	105	116	27	3	3	17	1	1
2020-02-08	56369199	56368818	56373543	384	136	153	17536	15313	18404	0	0	0	26	4	4	9884	9103	10153	21	2	2	12210	11731	12327	392	160	179	34	5	5	21	2	2
2020-02-09	56361900	56361244	56367601	445	192	218	20258	17420	21393	0	0	0	31	6	7	11422	10358	11807	25	4	4	15178	14447	15388	487	230	261	42	8	9	26	4	4
2020-02-10	56353468	56352457	56360861	514	258	297	23404	19817	24868	0	0	0	36	9	11	13198	11786	13728	29	6	7	18608	17534	18944	597	316	362	52	12	14	32	6	7
2020-02-11	56343726	56342264	56353216	595	335	390	27039	22545	28908	0	0	0	41	14	16	15248	13411	15961	33	9	11	22572	21045	23076	724	419	484	63	18	20	39	9	11
2020-02-12	56332473	56330442	56344546	688	423	498	31236	25647	33603	0	0	0	48	19	22	17617	15258	18555	38	13	15	27151	25038	27878	871	539	631	76	25	29	48	13	15
2020-02-13	56319474	56316731	56334715	795	522	623	36083	29176	39060	0	0	0	55	25	29	20353	17359	21571	44	18	21	32442	29580	33461	1041	679	804	91	35	40	57	19	22
2020-02-14	56304461	56300831	56323566	919	634	767	41680	33189	45399	0	0	0	64	32	38	23514	19749	25076	51	24	29	38554	34748	39951	1237	841	1008	108	46	54	68	25	30
2020-02-15	56287121	56282393	56310924	1062	760	933	48142	37752	52763	0	0	0	74	41	49	27164	22467	29149	59	31	37	45616	40628	47496	1463	1026	1247	128	60	71	81	34	40
2020-02-16	56267097	56261015	56296591	1228	901	1124	55602	42941	61316	0	0	0	86	51	61	31380	25559	33881	69	40	48	53773	47318	56267	1725	1239	1527	151	76	91	95	43	52
2020-02-17	56243975	56236230	56280341	1419	1060	1344	64212	48839	71249	0	0	0	99	62	76	36247	29074	39380	79	49	60	63196	54930	66464	2027	1481	1852	177	96	116	112	55	67
2020-02-18	56217279	56207499	56261918	1639	1238	1598	74148	55543	82782	0	0	0	115	75	94	41867	33072	45768	92	60	74	74080	63590	78316	2377	1757	2231	208	119	145	131	69	84
2020-02-19	56186461	56174199	56241035	1894	1440	1891	85612	63162	96169	0	0	0	132	90	114	48355	37617	53188	106	72	90	86652	73442	92092	2780	2072	2672	243	146	180	154	86	106
2020-02-20	56150890	56135610	56217365	2188	1667	2229	98835	71820	111704	0	0	0	153	107	137	55843	42784	61804	123	86	109	101171	84648	108102	3246	2431	3186	284	177	221	180	105	131
2020-02-21	56109841	56090902	56190539	2528	1924	2620	114083	81656	129725	0	0	0	177	127	164	64484	48658	71809	142	102	131	117937	97396	126706	3783	2839	3782	332	213	270	210	127	161
