time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	weeklyFatality (total) median	weeklyFatality (total) lower bound	weeklyFatality (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-02-01	55643340	55643340	55643340	18074	0	0	398737	536144	536144	841	0	0	359	0	0	347909	229776	229776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-02	55370657	55426406	55451139	19697	226	227	554968	577489	601854	0	0	0	1392	1	1	362922	306314	306661	242	0	0	99382	76839	76859	3216	236	237	380	1	1	242	0	0
2020-02-03	55083559	55154578	55211212	21379	581	596	705382	661821	714571	0	0	0	1592	5	5	392263	368817	372264	505	0	0	204580	173104	173553	6620	626	641	793	5	5	505	0	0
2020-02-04	54766437	54831926	54929868	23295	1292	1366	849117	772646	856876	0	0	0	1798	15	16	446430	429864	441271	795	4	4	321389	286385	288770	10402	1417	1495	1242	16	17	795	4	4
2020-02-05	54401563	54453082	54605762	25636	2625	2846	999306	901849	1022960	0	0	0	2018	40	44	523085	498346	522922	1114	15	16	456539	417372	424625	14780	2920	3157	1733	46	49	1114	15	16
2020-02-06	53974944	54007906	54233153	28540	4781	5273	1168830	1048412	1214914	0	0	0	2257	93	102	617614	578626	621505	1469	42	47	615607	568681	585165	19938	5398	5937	2278	107	118	1469	42	47
2020-02-07	53475688	53484508	53804568	32105	7869	8792	1365503	1214692	1437742	0	0	0	2525	187	208	728311	672591	739283	1867	96	109	803261	743849	775396	26025	9041	10072	2887	220	245	1867	96	109
2020-02-08	52893743	52870267	53311994	36421	11940	13491	1593458	1403799	1696653	0	0	0	2832	334	375	856361	781503	878470	2315	189	214	1024130	946894	1000991	33194	13979	15747	3576	404	453	2315	189	214
2020-02-09	52218475	52151899	52747136	41587	17011	19435	1855396	1618565	1996271	0	0	0	3187	547	620	1004381	906837	1041863	2582	333	380	1283410	1182245	1268356	41612	20316	23129	4360	680	768	2824	333	380
2020-02-10	51438356	51315431	52101383	47721	23104	26697	2153721	1861361	2340553	0	0	0	3601	837	956	1175365	1050411	1232787	2899	541	620	1587092	1454803	1584769	51473	28158	32402	5258	1067	1215	3404	541	621
2020-02-11	50541260	50346409	51365821	54956	30253	35375	2490624	2134120	2732683	0	0	0	4085	1212	1397	1372263	1214254	1454832	3274	824	952	1942004	1770009	1958477	63000	37625	43777	6290	1588	1823	4068	828	956
2020-02-12	49515018	49230424	50531402	63442	38511	45595	2867672	2438263	3174695	535	0	0	4114	1682	1956	1597867	1400446	1711615	3732	1193	1388	2355777	2133872	2398729	76440	48861	57505	7480	2263	2621	4846	1208	1404
2020-02-13	48348092	47953918	49589239	73334	47956	57511	3285262	2774506	3666857	1155	0	0	4114	2257	2650	1854746	1610986	2006525	4303	1655	1940	2836797	2552966	2915754	92065	62038	73874	8856	3118	3641	5772	1697	1987
2020-02-14	47030380	46505253	48531025	84800	58681	71302	3742042	3142562	4206894	1858	0	0	4114	2944	3492	2145091	1847656	2342434	5000	2215	2620	3394120	3034390	3520654	110169	77351	93211	10446	4175	4921	6867	2311	2729
2020-02-15	45554176	44876025	47349556	98009	70795	87158	4234350	3540794	4789141	2659	0	398	4114	3755	4114	2470467	2111874	2721311	5840	2881	3444	4037341	3585685	4225219	131063	95018	115871	12284	5463	6499	8156	3070	3659
