time	susceptible (total) median	susceptible (total) lower bound	susceptible (total) upper bound	severe (total) median	severe (total) lower bound	severe (total) upper bound	exposed (total) median	exposed (total) lower bound	exposed (total) upper bound	overflow (total) median	overflow (total) lower bound	overflow (total) upper bound	ICU (total) median	ICU (total) lower bound	ICU (total) upper bound	infectious (total) median	infectious (total) lower bound	infectious (total) upper bound	weeklyFatality (total) median	weeklyFatality (total) lower bound	weeklyFatality (total) upper bound	cumulative recovered (total) median	cumulative recovered (total) lower bound	cumulative recovered (total) upper bound	cumulative hospitalized (total) median	cumulative hospitalized (total) lower bound	cumulative hospitalized (total) upper bound	cumulative ICU (total) median	cumulative ICU (total) lower bound	cumulative ICU (total) upper bound	cumulative fatality (total) median	cumulative fatality (total) lower bound	cumulative fatality (total) upper bound
2020-02-01	55643340	55643340	55643340	13408	0	0	438071	536144	536144	593	0	0	236	0	0	313612	229776	229776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-02-02	55389682	55426406	55451139	15188	226	227	564595	577489	601854	0	0	0	984	1	1	346401	306314	306661	179	0	0	92230	76839	76859	2992	236	237	287	1	1	179	0	0
2020-02-03	55110761	55154578	55211212	17130	581	596	699946	661821	714571	0	0	0	1156	5	5	385729	368817	372264	382	0	0	194156	173104	173553	6298	626	641	612	5	5	382	0	0
2020-02-04	54796927	54831926	54929868	19335	1292	1366	838596	772646	856876	0	0	0	1344	15	16	442991	429864	441271	612	4	4	309455	286385	288770	10039	1417	1495	978	16	17	612	4	4
2020-02-05	54434506	54453082	54605762	21948	2625	2846	987854	901849	1022960	0	0	0	1552	40	44	519131	498346	522922	874	15	16	443395	417372	424625	14386	2920	3157	1393	46	49	874	15	16
2020-02-06	54011146	54007906	54233153	25089	4781	5273	1157015	1048412	1214914	0	0	0	1787	93	102	612108	578626	621505	1174	42	47	600941	568681	585165	19501	5398	5937	1865	107	118	1174	42	47
2020-02-07	53516206	53484508	53804568	28856	7869	8792	1352679	1214692	1437742	0	0	0	2055	187	208	721293	672591	739283	1519	96	109	786652	743849	775396	25532	9041	10072	2407	220	245	1519	96	109
2020-02-08	52939452	52870267	53311994	33345	11940	13491	1578965	1403799	1696653	0	0	0	2364	334	375	848018	781503	878470	1916	189	214	1005200	946894	1000991	32631	13979	15747	3032	404	453	1916	189	214
2020-02-09	52270099	52151899	52747136	38658	17011	19435	1838851	1618565	1996271	0	0	0	2725	547	620	994743	906837	1041863	2195	333	380	1261809	1182245	1268356	40967	20316	23129	3755	680	768	2375	333	380
2020-02-10	51496568	51315431	52101383	44915	23104	26697	2134943	1861361	2340553	0	0	0	3146	837	956	1164323	1050411	1232787	2525	541	620	1562458	1454803	1584769	50735	28158	32402	4595	1067	1215	2907	541	621
2020-02-11	50606729	50346409	51365821	52250	30253	35375	2469536	2134120	2732683	0	0	0	3639	1212	1397	1359649	1214254	1454832	2913	824	952	1913933	1770009	1958477	62155	37625	43777	5572	1588	1823	3525	828	956
2020-02-12	49588399	49230424	50531402	60813	38511	45595	2844259	2438263	3174695	102	0	0	4114	1682	1956	1583515	1400446	1711615	3369	1193	1388	2323816	2133872	2398729	75473	48861	57505	6708	2263	2621	4243	1208	1404
2020-02-13	48429983	47953918	49589239	70764	47956	57511	3259585	2774506	3666857	753	0	0	4114	2257	2650	1838514	1610986	2006525	3928	1655	1940	2800448	2552966	2915754	90959	62038	73874	8030	3118	3641	5102	1697	1987
2020-02-14	47121263	46505253	48531025	82268	58681	71302	3714274	3142562	4206894	1488	0	0	4114	2944	3492	2126877	1847656	2342434	4615	2215	2620	3352851	3034390	3520654	108907	77351	93211	9568	4175	4921	6133	2311	2729
2020-02-15	45654352	44876025	47349556	95496	70795	87158	4204816	3540794	4789141	2310	0	398	4114	3755	4114	2450221	2111874	2721311	5447	2881	3444	3990598	3585685	4225219	129627	95018	115871	11356	5463	6499	7362	3070	3659
2020-02-16	44024787	43062560	46039341	110614	84410	105272	4724869	3965851	5403713	3241	578	1552	4114	4114	4114	2809231	2404499	3143733	6441	3670	4473	4723598	4214717	5041604	153440	115272	142227	13428	7011	8419	8815	4002	4852
2020-02-17	42232713	41067494	44597294	127777	99641	125818	5264782	4412323	6035859	4299	1631	2837	4114	4114	4114	3203277	2725605	3608324	7616	4629	5735	5561785	4929487	5981879	180667	138357	172655	15825	8849	10729	10523	5170	6356
2020-02-18	40284029	38901231	43023462	147115	116588	148937	5811297	4872459	6665675	5511	2768	4290	4114	4114	4114	3629998	3074217	4111134	8991	5777	7252	6514700	5737879	7057394	211617	164515	207507	18590	11012	13479	12516	6605	8208
